trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,quantity,pnl,pnl_pct,fees,rr_planned,outcome,platform,timeframe_hint,source_image,source_path,capture_ts_from_name,confidence,field_confidence,dedupe_key,dataset_version,ocr_n_labels,ocr_n_gray,ocr_n_green,ocr_n_red,ocr_raw_preview,validation_issues,flags
92bbe2ef97f9080e,BTCUSDT,short,2026-08-11 11:38:42,,53936.2,,,53898.4,,,,,,open,TradingView,,Screenshot_20260811-113842.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260811-113842.TradingView.png,2026-08-11 11:38:42,0.835,"{""entry"": 0.8951620757579805, ""take_profit"": 0.8934770441055297, ""side"": 0.65, ""symbol"": 0.9, ""capture_ts"": 0.95}",dccc22f4bcd5,v_ops_apr_sep,15,1,2,0,"54.100,000 54.080,000 Maximo 54.072,300 54.060,000 54.042,200 54.020,000 54.000,000 53.980,000 53.960,000 53.950,300 10:00 52040000 53.936,200 53.920,000 53.898,400 1:00 01:18 JJ.004.300 Minimo 53.877,100 12:0 53.860,000 70,0 60,0 50,0 42,2",[],
1a88c9800c619a17,UNKNOWN,,2026-08-11 13:48:50,,,,,,,,,,,unknown,TradingView,,Screenshot_20260811-134850.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260811-134850.TradingView.png,2026-08-11 13:48:50,0.3,"{""symbol"": 0.3, ""capture_ts"": 0.95}",a12692619440,v_ops_apr_sep,0,0,0,0,"90,200 Maximo 90,017 89,921 89,854 01:10 89,732 89,600 4:00 89,530 3:00 89,400 89,290 89,200 88,987 88,800","[""missing_entry"", ""missing_side"", ""low_confidence"", ""sparse_ocr""]",missing_side;missing_entry
332628799a52dce5,BTCUSDT,long,2026-08-11 14:44:19,,63273.44,,63187.8,63444.0,,,,,1.992,open,TradingView,,Screenshot_20260811-144419.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260811-144419.TradingView.png,2026-08-11 14:44:19,0.886,"{""entry"": 0.8930765855312348, ""take_profit"": 0.894927396774292, ""stop_loss"": 0.8428740787506104, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",229423c8061e,v_ops_apr_sep,14,1,2,1,"63.680,000 Maximo 63.640,230 63.600,000 63.560,000 63.520,000 63.480,000 63.460,020 63.444,000 13:0 00:41 63.400,000 63.360,000 63-320.000 63.307,242 63.273,440 Minimo 63.238,000 15:00 63-200.000 63.187,800",[],
b3035521ae410944,BTCUSDT,long,2026-08-11 18:16:44,,63678.21,,63570.82,63804.36,,,,,1.175,open,TradingView,,Screenshot_20260811-181644.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260811-181644.TradingView.png,2026-08-11 18:16:44,0.882,"{""entry"": 0.8959357988834382, ""take_profit"": 0.8835367155075073, ""stop_loss"": 0.832497582435608, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",a9a6b75c9be3,v_ops_apr_sep,16,1,1,2,"63.825,000 63.804,360 63.775000 Maximo 63.768,580 63.750,000 63.725,000 63.700,000 63.678,210 63.650.000 63.639,858 63.625,000 63.611,380 63.600,000 63.570,820 03:16 63.525,000 63.500,000 Minimo 63.476,290",[],
a56e2b943f9410ae,BTCUSDT,long,2026-08-11 19:50:34,,63579.96,,63508.84,63738.98,,,,,2.236,open,TradingView,,Screenshot_20260811-195034.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260811-195034.TradingView.png,2026-08-11 19:50:34,0.883,"{""entry"": 0.8959878170490265, ""take_profit"": 0.8920741868019104, ""stop_loss"": 0.8292744612693788, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",5c2caa9bfdc2,v_ops_apr_sep,12,1,1,1,"63.800,000 Maximo 63.768,580 63.738,980 04:26 63.680,000 63.640,000 63.600,000 63.579,960 63.560,000 19:00 20:00 63.520.000 63.508,840 63.480,000 63.440,000",[],
0b32843f03d381f5,BTCUSDT,long,2026-08-12 09:39:45,,63869.829,,63562.75,64157.25,,,,,0.936,open,TradingView,,Screenshot_20260812-093945.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260812-093945.TradingView.png,2026-08-12 09:39:45,0.894,"{""entry"": 0.95, ""take_profit"": 0.8917134761810304, ""stop_loss"": 0.8268795834647285, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",2ca9c8170bff,v_ops_apr_sep,16,4,1,1,"Maximo 64.500,000 64.400,000 64.300,000 64.200,000 64.157,250 64.100,000 64.021,394 08:0 63.900,000 63.869,829 09:0 53800000 63.783,460 63.700,000 63.632,664 63.600,000 63.562,75 Minimo 63.529,410 63.500.000",[],
fa9b873cf40db396,BTCUSDT,,2026-08-12 19:23:18,,63642.82,,63403.783,63295.54,,,,,1.453,open,TradingView,,Screenshot_20260812-192318.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260812-192318.TradingView.png,2026-08-12 19:23:18,0.895,"{""entry"": 0.95, ""take_profit"": 0.8971661853790283, ""stop_loss"": 0.8312609910964965, ""symbol"": 0.9, ""capture_ts"": 0.95}",e2fcbe5ae642,v_ops_apr_sep,13,2,1,1,"63.750,000 Maximo 63.717,310 63.700,000 63.642,820 UT.4Z 63.600,000 63.550.000 63.535,410 63.500,000 63.479,990 63.450,000 :00 63.403,783 63.343,565 Minimo 63310340 63.295.540","[""missing_side""]",missing_side
daf01f514eeaf1ea,BTCUSDT,long,2026-08-13 17:14:21,,63422.64,,63339.29,63612.65,,,,,2.28,open,TradingView,,Screenshot_20260813-171421.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260813-171421.TradingView.png,2026-08-13 17:14:21,0.886,"{""entry"": 0.8975214064121247, ""take_profit"": 0.893242130279541, ""stop_loss"": 0.8378662657737732, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",f3c9ed8f5b39,v_ops_apr_sep,16,1,2,2,"63.640,000 Maximo 63.628,000 63.612,650 00:39 63.588,340 63.560,000 63.520,000 63.479,990 63.440,000 63.422,640 63.403,783 63.391,367 63.360,000 63.339,290 63.320,000 63.280,000 63.240.000",[],
02f18ea7e2955f23,BTCUSDT,short,2026-08-14 01:47:01,,63647.45,,,63349.36,,,,,,open,TradingView,M5,Screenshot_20260814-014701.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260814-014701.TradingView.png,2026-08-14 01:47:01,0.849,"{""entry"": 0.95, ""take_profit"": 0.8966599774360657, ""side"": 0.65, ""symbol"": 0.9, ""capture_ts"": 0.95}",e8419d701889,v_ops_apr_sep,24,2,2,0,"1:47 白61% 64.000,000 63.960,000 63.943,663 63.920,000 63.880,000 63.840,000 63.800,000 63.760,000 63.720,000 63.680,000 63.647,450 Maximo 63.614,270 63.600,000 63.560.000 63.544,740 63.520,000 63.490,860 63.440,000 63403783 63.391,367 63-36",[],
eae78d778c5a4bc5,BTCUSDT,long,2026-08-14 01:48:56,,53924.5,,53834.5,,,,,,,open,TradingView,M5,Screenshot_20260814-014856.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260814-014856.TradingView.png,2026-08-14 01:48:56,0.7,"{""entry"": 0.95, ""stop_loss"": 0.4, ""side"": 0.55, ""symbol"": 0.9, ""capture_ts"": 0.95}",03cdc76dc0d0,v_ops_apr_sep,21,3,0,2,"1:48 白60% JU.UUU,UUu 53.970,000 53.960,000 53.950,000 53.940,000 53.936,200 53.930,000 53.924,500 53.920,000 Maximo 53.915,100 53.911,374 53.900,000 53.892,300 53.884,500 53.880,000 :00 53.870,000 53.858,500 01: 53.850,000 53.840,000 53.834",[],
